Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,dataset,model,repeat,transform
0.6731549067315491,0.7797619047619048,0.75,0.078125,0.9056603773584906,0.828125,0.5454545454545454,0.5869017632241813,0.1417798120046691,0.7584266722495552,0.4451219512195122,Compas Race,GPyT_in_False,0-0,no_transform
0.6747769667477697,0.7336309523809523,0.6875,0.12109375,0.8502415458937198,0.80859375,0.6042780748663101,0.6523929471032746,0.16458806905449408,0.7477163574724549,0.4878048780487805,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,0-0,no_transform
0.6763990267639902,0.7127976190476191,0.6658653846153846,0.12319711538461542,0.8438690022848438,0.7890625,0.6327985739750446,0.6801007556675063,0.161808072740677,0.7620822041553751,0.5182926829268293,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,0-0,no_transform
0.6739659367396593,0.6636904761904762,0.6105769230769231,0.13942307692307687,0.8141025641025642,0.75,0.6862745098039216,0.7329974811083123,0.15982674940099528,0.7819545721230408,0.573170731707317,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,0-0,no_transform
0.6699107866991079,0.6056547619047619,0.5625,0.11328125,0.8323699421965318,0.67578125,0.7468805704099821,0.7909319899244333,0.15068808748540885,0.8094803479881932,0.6402439024390244,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,0-0,no_transform
0.6885644768856448,0.7976190476190477,0.7524038461538461,0.11868990384615385,0.8637461193515005,0.87109375,0.5579322638146168,0.6045340050377834,0.15941205381827125,0.736305894308943,0.4451219512195122,Compas Race,SVM,0-0,no_transform
0.6739659367396593,0.7083333333333334,0.6490384615384616,0.15564903846153846,0.8065720687079909,0.8046875,0.6327985739750446,0.6750629722921915,0.14457516741414267,0.7858345467783036,0.5304878048780488,Compas Race,GPyT_in_False,1-2410,no_transform
0.6666666666666666,0.6830357142857143,0.6346153846153846,0.12710336538461542,0.8331360946745562,0.76171875,0.6470588235294118,0.7078085642317379,0.207808564231738,0.7064056939501779,0.5,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,1-2410,no_transform
0.6690997566909975,0.65625,0.6033653846153846,0.13882211538461542,0.8129554655870445,0.7421875,0.6844919786096256,0.7405541561712846,0.19177366836640647,0.7410403185664509,0.5487804878048781,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,1-2410,no_transform
0.6650446066504461,0.6443452380952381,0.59375,0.1328125,0.8172043010752689,0.7265625,0.6898395721925134,0.7481108312342569,0.1993303434293789,0.7335550628233556,0.5487804878048781,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,1-2410,no_transform
0.6480129764801298,0.5595238095238095,0.5024038461538461,0.14993990384615385,0.7701520036849379,0.65234375,0.7540106951871658,0.7984886649874056,0.1521472015727714,0.8094560283142264,0.6463414634146342,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,1-2410,no_transform
0.681265206812652,0.7589285714285714,0.7067307692307693,0.13701923076923073,0.8376068376068376,0.84375,0.5882352941176471,0.6448362720403022,0.1936167598451803,0.6997427591463415,0.451219512195122,Compas Race,SVM,1-2410,no_transform
0.6877534468775345,0.7559523809523809,0.6995192307692307,0.14813701923076927,0.82523927685218,0.84765625,0.6060606060606061,0.6700251889168766,0.2188056767217546,0.6734366403814415,0.451219512195122,Compas Race,GPyT_in_False,2-4820,no_transform
0.6901865369018654,0.7380952380952381,0.6850961538461539,0.13912259615384615,0.8312067079839591,0.82421875,0.6327985739750446,0.6851385390428212,0.17904097806721142,0.7386791606886657,0.5060975609756098,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,2-4820,no_transform
0.6950527169505272,0.7217261904761905,0.6658653846153846,0.14663461538461542,0.8195266272189349,0.8125,0.6631016042780749,0.7204030226700252,0.19601277876758616,0.7279123315708682,0.5243902439024389,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,2-4820,no_transform
0.6901865369018654,0.6875,0.6274038461538461,0.15775240384615385,0.799081515499426,0.78515625,0.6934046345811051,0.7455919395465995,0.17851876881489226,0.7605677323665128,0.5670731707317073,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,2-4820,no_transform
0.681265206812652,0.6443452380952381,0.5769230769230769,0.17698317307692313,0.7652451175767238,0.75390625,0.7254901960784313,0.7732997481108312,0.16354365054985565,0.7885119567808055,0.6097560975609756,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,2-4820,no_transform
0.6869424168694241,0.7872023809523809,0.7379807692307693,0.12920673076923073,0.851004851004851,0.8671875,0.5668449197860963,0.6397984886649875,0.24955458622596305,0.6099481467255617,0.3902439024390244,Compas Race,SVM,2-4820,no_transform
0.6934306569343066,0.7604166666666666,0.7211538461538461,0.10306490384615384,0.8749544294567991,0.82421875,0.6131907308377896,0.6750629722921915,0.21164833814585,0.6864761558063341,0.4634146341463415,Compas Race,GPyT_in_False,3-7230,no_transform
0.7007299270072993,0.7410714285714286,0.6995192307692307,0.10907451923076927,0.8651059085841694,0.80859375,0.6524064171122995,0.72544080604534,0.24983104994777905,0.655614837398374,0.475609756097561,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,3-7230,no_transform
0.7023519870235199,0.7217261904761905,0.6826923076923077,0.10246394230769228,0.8694986605434367,0.78515625,0.6791443850267379,0.7481108312342569,0.2359157092830374,0.6846513919684651,0.5121951219512195,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,3-7230,no_transform
0.7055961070559611,0.6994047619047619,0.6634615384615384,0.09435096153846156,0.8754956383822363,0.7578125,0.7130124777183601,0.7783375314861462,0.2234594827056583,0.7129015707632804,0.5548780487804879,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,3-7230,no_transform
0.6845093268450932,0.6205357142857143,0.5889423076923077,0.08293269230769229,0.8765652951699464,0.671875,0.7611408199643493,0.8186397984886651,0.19668857897646985,0.7597373358348968,0.6219512195121951,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,3-7230,no_transform
0.6885644768856448,0.7827380952380952,0.7451923076923077,0.09855769230769228,0.8831908831908832,0.84375,0.5757575757575758,0.6423173803526449,0.22768323401118146,0.6455284552845528,0.4146341463414634,Compas Race,SVM,3-7230,no_transform
0.6772100567721006,0.7455357142857143,0.7163461538461539,0.07662259615384615,0.9033724895793861,0.79296875,0.5953654188948306,0.6599496221662469,0.22092523192234442,0.6652392478123255,0.43902439024390244,Compas Race,GPyT_in_False,4-9640,no_transform
0.6690997566909975,0.7098214285714286,0.6826923076923077,0.07121394230769229,0.9055400557991232,0.75390625,0.6203208556149733,0.6775818639798489,0.19587454690667816,0.7109212077250884,0.4817073170731707,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.6_1tpr_0.6,4-9640,no_transform
0.6642335766423357,0.6830357142857143,0.65625,0.0703125,0.9032258064516129,0.7265625,0.6417112299465241,0.7027707808564232,0.20886834183203296,0.7027930763178599,0.49390243902439024,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.7_1tpr_0.7,4-9640,no_transform
0.6593673965936739,0.6577380952380952,0.6177884615384616,0.10486778846153844,0.8548856548856549,0.72265625,0.661319073083779,0.7204030226700252,0.20211033974319592,0.7194482346921371,0.5182926829268293,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.8_1tpr_0.8,4-9640,no_transform
0.6520681265206812,0.59375,0.5528846153846154,0.10727163461538458,0.8375056895766956,0.66015625,0.7219251336898396,0.783375314861461,0.21020458315414392,0.731668104462395,0.573170731707317,Compas Race,GPyT_eq_odds_in_False_0tnr_0.74_1tnr_0.74_0tpr_0.9_1tpr_0.9,4-9640,no_transform
0.6820762368207623,0.8020833333333334,0.7764423076923077,0.06730769230769229,0.9202279202279202,0.84375,0.5383244206773619,0.6095717884130982,0.24371812987651287,0.6001814150372908,0.36585365853658536,Compas Race,SVM,4-9640,no_transform
