dataset,transform,model,repeat,Accuracy,CV absolute,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1
Adult Sex,no_transform,GPyT_in_False,0-0,0.8536207849640686,0.8083128091925267,0.9215052182860504,0.9715930902111324,0.08116907877711632,0.9164577438900088,0.8904240114340162,0.6476360392506689,0.5718562874251497,0.08904518008009132,0.8652670867622408,0.6609014675052409,0.2195688225538972,0.09016672337529773,0.19168719080747326,0.3199058761938221,0.28185391418277106
Adult Sex,no_transform,GPyT_dem_par_in_False,0-0,0.845992260917634,0.9080152755554668,0.9297368807878876,0.9335892514395392,0.0062428960322025145,0.9933130163799804,0.9273463554073368,0.5918822479928635,0.6916167664670658,0.11719328638320835,0.8305516984762269,0.5744234800838575,0.19955776672194586,0.13746172167403878,0.09198472444453312,0.5991015507078378,0.2294464461185719
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,0-0,0.8440022111663903,0.8938869135908689,0.9082757606938116,0.9159309021113244,0.012405413783549202,0.9864559501650688,0.9035254883277752,0.6489741302408564,0.7365269461077845,0.10287914736564607,0.8603185560157488,0.6336477987421384,0.2298507462686567,0.15821708063967335,0.10611308640913113,0.5985585467074631,0.2643301670488045
Adult Sex,no_transform,GPyT_in_False,1-2410,0.8572692095080154,0.8217789451124721,0.9322357783330883,0.9761996161228408,0.07124487577029183,0.9270181276517458,0.9049547403525487,0.6297948260481713,0.5778443113772455,0.061044577511643376,0.9044519656339496,0.6388888888888888,0.2070757324488668,0.08676420551207893,0.17822105488752804,0.327430308316906,0.26498526039960696
Adult Sex,no_transform,GPyT_dem_par_in_False,1-2410,0.8473189607517966,0.8970805772622871,0.9250330736439806,0.9351247600767756,0.01635391681808085,0.9825115134190884,0.9187708432586946,0.6115075825156111,0.7125748502994012,0.11875933667256675,0.8333377376107677,0.5938155136268344,0.20796019900497512,0.13848247703300445,0.1029194227377129,0.5736594333538162,0.2414018997707173
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,1-2410,0.8393587617468214,0.8594718886604322,0.8843157430545348,0.909021113243762,0.04003588218135135,0.9559571481915456,0.8689852310624107,0.7029438001784122,0.7544910179640718,0.06057068253430242,0.9197198096569166,0.6939203354297694,0.26124930901050303,0.16638312351139845,0.14052811133956786,0.5421213191892204,0.3069112348509663
Adult Sex,no_transform,GPyT_in_False,2-4820,0.8424543946932007,0.7673484110308448,0.913567543730707,0.983493282149712,0.11331700773332333,0.8847811065006608,0.8701762744163888,0.6266726137377342,0.4281437125748503,0.2332818639450659,0.6473044402478719,0.6614255765199162,0.220342730790492,0.06328683225586934,0.2326515889691552,0.21385135459564925,0.29593842122502456
Adult Sex,no_transform,GPyT_dem_par_in_False,2-4820,0.8466556108347153,0.9444477940862612,0.9481111274437748,0.9381957773512476,0.016068157855993914,0.983161725741522,0.9542639352072416,0.5388046387154326,0.7065868263473054,0.19715286408315447,0.7209785737128238,0.5094339622641509,0.17258153676064125,0.13507995916978566,0.055552205913738766,0.7085895452669339,0.1906321650835244
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,2-4820,0.8500829187396352,0.8881040263276646,0.9106276642657652,0.9178502879078696,0.011704504201342614,0.9872479157488508,0.9061457837065268,0.6663693131132917,0.7395209580838323,0.08595701678404201,0.8837666250774493,0.6535639412997903,0.23239358761746826,0.15685607349438585,0.1118959736723354,0.5836460601808167,0.26875204716672124
Adult Sex,no_transform,GPyT_in_False,3-7230,0.8568269762299613,0.8317832169273982,0.933264736145818,0.9723608445297504,0.06335655677367613,0.9348425462315728,0.9090042877560744,0.6248884924174843,0.5898203592814372,0.041206894387325936,0.9346987088945036,0.6310272536687631,0.205085682697623,0.09152773052058524,0.1682167830726018,0.3523759915250274,0.259744513593187
Adult Sex,no_transform,GPyT_dem_par_in_False,3-7230,0.8458817025981205,0.9416622542410832,0.9492870792297516,0.9431861804222648,0.009886711430998618,0.9896264897307344,0.9530728918532636,0.532114183764496,0.7065868263473054,0.2050144993032802,0.7098523611555272,0.5015723270440252,0.17003869541182973,0.1306566859476012,0.05833774575891695,0.6913255843986595,0.1889944317065181
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,3-7230,0.8412382531785517,0.9281903787315552,0.9234161399382624,0.9178502879078696,0.009019650157876093,0.9902686992128594,0.9268699380657456,0.5918822479928635,0.7305389221556886,0.1629288592626068,0.7769744303536448,0.5676100628930818,0.2043117744610282,0.1558353181354202,0.07180962126844484,0.6845542823991912,0.22764493940386504
Adult Sex,no_transform,GPyT_in_False,4-9640,0.8491984521835269,0.8177326459051037,0.930030868734382,0.9773512476007676,0.07668426332253997,0.921538685799208,0.9006669842782278,0.6039250669045495,0.5209580838323353,0.09749055348422653,0.842362732162793,0.6184486373165619,0.2023217247097844,0.07927866621299763,0.18226735409489625,0.30311555159459197,0.2615460203078939
Adult Sex,no_transform,GPyT_dem_par_in_False,4-9640,0.8404643449419569,0.9323285670964152,0.9385565191827135,0.9339731285988484,0.007427538385429866,0.9921101199033312,0.9414006669842784,0.5428189116859946,0.6736526946107785,0.15373655205312653,0.7717866293966922,0.5199161425576521,0.18076285240464346,0.13507995916978566,0.06767143290358482,0.6662344351298151,0.20275139207337045
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,4-9640,0.8221116639027087,0.9192308793931684,0.9116566220784948,0.9124760076775432,0.0013278418843083448,0.9985447925500112,0.9111481657932348,0.5504014272970562,0.6227544910179641,0.08501864196136033,0.8634796806966618,0.5377358490566038,0.20287451630735207,0.1483497788363389,0.08076912060683175,0.6474794493028487,0.22911889944317065
Adult Sex,no_transform,GPyT_in_False,5-12050,0.8546158098396904,0.8163843438707369,0.9337057180655594,0.9808061420345492,0.07632781902359131,0.9221784858878844,0.9044783230109577,0.6146297948260482,0.5389221556886228,0.08896044389209001,0.8583167554706947,0.6278825995807128,0.20221116639027087,0.07825791085403197,0.18361565612926312,0.2988385263756844,0.2618735669832951
Adult Sex,no_transform,GPyT_dem_par_in_False,5-12050,0.8454394693200663,0.927274217641002,0.9450242540055858,0.9477927063339732,0.004486369983329963,0.9952665071662314,0.9433063363506432,0.5432649420160571,0.7095808383233533,0.1954298949271268,0.7245840299339226,0.5141509433962265,0.17600884466556108,0.12691391629806054,0.07272578235899807,0.6357148260180129,0.19963969865705866
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,5-12050,0.845992260917634,0.9102656404651988,0.9140085256504484,0.9186180422264876,0.007469876433252699,0.9918683543215112,0.9111481657932348,0.639607493309545,0.7964071856287425,0.18424785648828124,0.768651187717722,0.6121593291404612,0.2232172470978441,0.16264035386185774,0.08973435953480123,0.6444399744844279,0.252374713396659
Adult Sex,no_transform,GPyT_in_False,6-14460,0.8432283029297954,0.7654323911453401,0.8890195501984418,0.9669865642994242,0.12634816506169194,0.8693382413712951,0.8406383992377322,0.7042818911685995,0.6197604790419161,0.09931708909225576,0.8618826486967754,0.7190775681341719,0.2580431177446103,0.09969377339231032,0.2345676088546599,0.29825094577826883,0.3342613822469702
Adult Sex,no_transform,GPyT_dem_par_in_False,6-14460,0.847208402432283,0.8985037168579102,0.9265030133764516,0.9378119001919386,0.018326430920857173,0.9804583084122666,0.9194854692710814,0.6066012488849242,0.7215568862275449,0.1350788988061612,0.8127952190819177,0.5864779874213837,0.20563847429519072,0.13712146988771692,0.10149628314208983,0.5746490700991074,0.2386177530298068
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,6-14460,0.8435599778883361,0.886709083162418,0.8984271644862559,0.9090211132437621,0.0171678497849721,0.9811139152492178,0.8918532634587899,0.6770740410347904,0.7664670658682635,0.10504148934834734,0.8629536818658281,0.6614255765199162,0.24422332780541736,0.16774413065668595,0.113290916837582,0.5968797562877182,0.28103504749426794
Adult Sex,no_transform,GPyT_in_False,7-16870,0.8475400773908237,0.8345010519051703,0.9353226517712774,0.9761996161228408,0.06624249368358393,0.9321424710791444,0.9099571224392567,0.5811775200713648,0.5269461077844312,0.06372475175435288,0.8921146172605987,0.5906708595387841,0.19270315091210613,0.08097992514460703,0.16549894809482962,0.3285471248724056,0.24647887323943665
Adult Sex,no_transform,GPyT_dem_par_in_False,7-16870,0.844776119402985,0.8905889899960625,0.9281199470821696,0.946257197696737,0.029392023804407308,0.9689386523284051,0.9168651738923296,0.5918822479928635,0.6976047904191617,0.1242295283646544,0.8219199035459459,0.5733752620545073,0.2007739082365948,0.12691391629806054,0.10941101000393746,0.5370314434622022,0.2363249263019981
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,7-16870,0.8380320619126589,0.8911408821827203,0.9023960017639276,0.9166986564299424,0.02317793227558318,0.9747158653358902,0.8935207241543592,0.6427297056199821,0.7514970059880239,0.12780727852471152,0.8299297568635313,0.6236897274633124,0.23272526257600884,0.159237835998639,0.10885911781727976,0.5939561555331031,0.26809695381591875
Adult Sex,no_transform,GPyT_in_False,8-19280,0.8579325594250967,0.8169405825427095,0.9320887843598412,0.9777351247600768,0.073971427761506,0.9243441031335992,0.9037636969985708,0.6329170383586084,0.5688622754491018,0.07526770358653756,0.8831482681504363,0.6441299790356394,0.20796019900497512,0.0843824430078258,0.18305941745729049,0.3155169608118704,0.26744186046511625
Adult Sex,no_transform,GPyT_dem_par_in_False,8-19280,0.8132669983416252,0.99679987232478,0.9617815669557548,0.945873320537428,0.025779847637893538,0.9734680558019424,0.9716531681753215,0.3626226583407672,0.6407185628742516,0.32677726308389515,0.4899831501400889,0.3139412997903564,0.11862907683803205,0.12078938414426675,0.003200127675219919,0.9735065486268412,0.11758925646904685
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,8-19280,0.8506357103372029,0.8876861507715513,0.9153314714096722,0.9274472168905952,0.01963397248849885,0.9788300917497766,0.9078132444020962,0.6543264942016057,0.7544910179640718,0.1176985651338831,0.8440026954177898,0.6367924528301887,0.2258706467661692,0.1500510377679483,0.1123138492284487,0.5719173761617304,0.262364886996397
Adult Sex,no_transform,GPyT_in_False,9-21690,0.8556108347153123,0.8314147687106999,0.9388505071292076,0.9765834932821496,0.0611475714145937,0.9373862328871791,0.915435921867556,0.6030330062444246,0.5359281437125748,0.07885173050126171,0.8717398961667456,0.6147798742138365,0.1954671088999448,0.08166042871725078,0.16858523128930014,0.3263210587352966,0.2502456600065509
Adult Sex,no_transform,GPyT_dem_par_in_False,9-21690,0.8514096185737977,0.901150893587229,0.92709098926944,0.9355086372360844,0.013641081257046772,0.9854185405520696,0.9218675559790376,0.6217662801070473,0.7485029940119761,0.1489222812237161,0.8010398322851153,0.59958071278826,0.20895522388059687,0.14222524668254508,0.098849106412771,0.5899642365785464,0.2410743530953161
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,9-21690,0.8417910447761194,0.8683170420005334,0.8869616345729825,0.908253358925144,0.03450395444682086,0.9620106503237664,0.873749404478323,0.7047279214986619,0.7874251497005988,0.0971735773735548,0.8765932515484133,0.690251572327044,0.25970149253731345,0.17080639673358286,0.13168295799946658,0.5646691166514656,0.30248935473304944
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,0-0,0.8354892205638474,0.8568133999244603,0.8812288696163457,0.906717850287908,0.04130574928743147,0.9544447599941748,0.8654121010004764,0.6966993755575379,0.7275449101796407,0.03624511982324663,0.9501816048519984,0.6912997903563941,0.2620232172470978,0.1653623681524328,0.1431866000755397,0.5359355732158995,0.3085489682279725
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,1-2410,0.8287451630735213,0.9541005021082124,0.9348816698515359,0.9247600767754318,0.016402381538050848,0.9825722101501552,0.9411624583134828,0.5066904549509367,0.6766467065868264,0.19970750323252867,0.7048570527448471,0.4769392033542977,0.174571586511885,0.1435862538278326,0.04589949789178743,0.7577680776773951,0.18948575171962004
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,2-4820,0.8528468767274737,0.8956248947509726,0.9160664412759076,0.9201535508637236,0.006623298362532615,0.9928019640240312,0.9135302525011908,0.6610169491525424,0.7544910179640718,0.10983692991375738,0.8544224817809724,0.6446540880503144,0.2269762299613046,0.15651582170806394,0.1043751052490274,0.5999281904265151,0.2608909269570914
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,3-7230,0.8442233278054173,0.9092561971128862,0.9157724533294136,0.9174664107485604,0.002745114893391354,0.9970079396245672,0.9147212958551691,0.6271186440677966,0.7425149700598802,0.13559673106616954,0.817381821870562,0.6069182389937107,0.2187949143173024,0.15753657706702962,0.09074380288711384,0.6345107780813212,0.24828037995414345
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,4-9640,0.8382531785516859,0.9024257511646072,0.9137145377039542,0.9197696737044144,0.009812551265157787,0.9893315125017796,0.9099571224392567,0.6092774308652988,0.6946107784431138,0.1002711558016044,0.855644111906311,0.5943396226415094,0.21592039800995025,0.1500510377679483,0.0975742488353927,0.6059600771237382,0.247625286603341
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,5-12050,0.8373687119955777,0.8961640818267096,0.8847567249742758,0.8948176583493282,0.016304080455092906,0.9817794381872514,0.8785135778942353,0.6935771632471008,0.8383233532934131,0.17008435958272128,0.7971136567834681,0.6682389937106918,0.258595909342178,0.18849948962232047,0.10383591817329038,0.6448055370497977,0.2923354077956109
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,6-14460,0.8425649530127142,0.8896669221434146,0.9047479053358812,0.9155470249520152,0.017500336052539422,0.9808853771837044,0.8980466888994759,0.6538804638715433,0.7425149700598802,0.1041501901856664,0.859733211604788,0.6383647798742138,0.2337202874516308,0.159237835998639,0.11033307785658536,0.5907085216328614,0.2695709138552244
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,7-16870,0.8389165284687673,0.8809869352452817,0.8984271644862559,0.9163147792706334,0.028987480556960214,0.9683651500415243,0.8873272987136732,0.6583407671721677,0.7485029940119761,0.10594534202036177,0.8584570230607966,0.6425576519916143,0.2395798783858485,0.159237835998639,0.11901306475471835,0.5722814753429605,0.2782509007533573
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,8-19280,0.8506357103372029,0.8933787091540436,0.9215052182860504,0.9309021113243762,0.015227980786024609,0.9836416948669716,0.9156741305383516,0.6355932203389829,0.7335329341317365,0.11508429681517462,0.8431095708723741,0.6184486373165619,0.2165837479270315,0.14460700918679822,0.10662129084595642,0.5755999987578814,0.25122830003275465
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_0.3,9-21690,0.8430071862907684,0.8817591608029051,0.8935763633691018,0.9082533589251439,0.02378456426101816,0.9738128529586,0.8844687946641258,0.6895628902765388,0.7904191616766467,0.11851140486322953,0.8500651165745505,0.6719077568134172,0.25096738529574353,0.17114664851990474,0.11824083919709494,0.5914099806805536,0.2893874877169997
